mileage,year,price,sold,car_outcome
7413,2011,21992,0,3
10926,2011,20995,0,3
7351,2011,19995,0,3
11613,2011,17809,0,3
8367,2012,17500,0,3
25125,2010,17495,0,3
27393,2011,17000,0,3
21026,2010,16995,0,3
32655,2011,16995,0,3
36116,2010,16995,0,3
40539,2010,16995,0,3
9199,2011,16992,0,3
9388,2011,16950,0,3
32058,2010,16950,0,3
15367,2011,16000,0,3
16368,2011,15999,0,3
19926,2010,15999,0,3
36049,2010,15995,0,3
11662,2011,15992,0,3
32069,2011,15992,0,3
16035,2010,15988,0,3
39943,2010,15980,0,3
36685,2011,15899,0,3
24920,2010,15889,0,3
20019,2009,15688,0,3
29338,2010,15500,0,3
7784,2010,15499,0,3
35636,2010,15499,0,3
22029,2010,15298,0,3
33107,2009,14999,0,3
36306,2010,14999,0,3
34419,2009,14995,0,3
4867,2011,14992,0,3
18948,2011,14992,0,3
24030,2009,14992,0,3
33036,2010,14990,0,3
23967,2011,14989,0,3
37905,2010,14906,0,3
28955,2010,14900,0,3
11165,2010,14893,0,3
44813,2010,14761,0,3
36469,2010,14699,0,3
22143,2010,14677,0,3
34046,2009,14549,0,3
32703,2010,14499,0,3
35894,2010,14495,0,3
38275,2010,14495,0,3
24855,2010,14480,0,3
29501,2009,14477,0,3
35394,2009,14355,0,3
36447,2010,14299,0,3
35318,2010,14275,0,3
24929,2010,14000,0,3
23785,2009,13999,0,3
15167,2010,13997,0,3
13541,2010,13995,0,3
20278,2010,13995,0,3
46126,2009,13995,0,3
53733,2009,13995,0,3
21108,2009,13992,0,3
21721,2010,13992,0,3
26716,2010,13992,0,3
26887,2009,13992,0,3
36252,2009,13991,0,3
9450,2009,13950,0,3
31414,2010,13950,0,3
37185,2010,13950,0,3
48174,2010,13895,0,3
50533,2009,13888,0,3
36713,2009,13845,0,3
34888,2009,13799,0,3
38380,2009,13742,0,3
35574,2010,13687,0,3
27528,2009,13663,0,3
33302,2010,13599,0,3
43369,2009,13584,1,2
64055,2009,13425,1,2
41342,2010,13384,1,2
34503,2010,13383,1,2
16573,2010,13350,1,2
32403,2009,12999,1,2
34846,2009,12998,1,2
39665,2007,12997,1,2
21325,2010,12995,1,2
32743,2010,12995,1,2
40058,2010,12995,1,2
42325,2009,12995,1,2
44518,2009,12995,1,2
53902,2009,12995,1,2
127327,2008,12995,1,2
27136,2009,12992,1,2
45813,2009,12990,1,2
31538,2009,12988,1,2
29517,2010,12849,1,2
35871,2010,12780,1,2
49787,2008,12777,1,2
36323,2008,12704,1,2
39211,2009,12595,1,2
44789,2009,12507,1,2
45996,2008,12500,1,2
54988,2009,12500,1,2
29288,2009,12280,1,2
36124,2009,11999,1,2
32559,2009,11992,1,2
59048,2009,11984,1,2
55170,2009,11980,1,2
39722,2010,11792,1,2
38286,2008,11754,1,2
57341,2008,11749,1,2
82221,2008,11495,1,2
85229,2008,11450,1,2
42834,2009,10995,1,2
69415,2005,10995,1,2
78264,2009,10995,1,2
60709,2009,10979,1,2
39643,2008,10955,1,2
40180,2009,10955,1,2
40330,2008,10836,1,2
77231,2007,10815,1,2
72937,2007,10770,1,2
64199,2010,10717,1,2
63926,2007,10000,1,2
74427,2007,9999,1,2
78948,2007,9999,1,2
51311,2006,9995,1,2
95364,2008,9995,1,2
74109,2008,9992,1,2
63296,2007,9651,1,2
80605,2007,9000,1,2
49656,2006,8999,1,2
48652,2007,8996,1,2
71331,2006,8800,1,2
106171,2008,8495,1,2
68901,2008,8494,1,2
70036,2009,8480,1,2
81596,2007,7999,1,2
35000,2006,7995,1,2
97987,2006,7995,1,2
96000,2003,7900,1,2
59013,2005,7488,1,1
105714,2004,6999,1,1
86862,2007,6995,1,1
60161,2000,6980,1,1
101130,2004,6980,1,1
119720,2004,6950,1,1
95000,2006,6200,1,1
87003,2002,5995,1,1
96841,2000,5980,1,1
151479,2001,4899,1,1
109259,2000,3800,1,1
